k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 1682 1000 u1.base u1.test 0.725926 1.02127 0.85535 0.349 0
5 0 1682 1000 u1.base u1.test 0.725926 1.02127 0.85535 0.366 0
5 0 1682 1000 u1.base u1.test 0.725926 1.02127 0.85535 0.353 0
10 0 1682 1000 u1.base u1.test 0.76874 1.02812 0.9261 0.380 0
10 0 1682 1000 u1.base u1.test 0.76874 1.02812 0.9261 0.403 0
10 0 1682 1000 u1.base u1.test 0.76874 1.02812 0.9261 0.398 0
20 0 1682 1000 u1.base u1.test 0.778044 1.01464 0.95915 0.425 0
20 0 1682 1000 u1.base u1.test 0.778044 1.01464 0.95915 0.415 0
20 0 1682 1000 u1.base u1.test 0.778044 1.01464 0.95915 0.484 0
5 1 1682 1000 u1.base u1.test 0.201156 0.591567 0.20975 0.344 0
5 1 1682 1000 u1.base u1.test 0.201156 0.591567 0.20975 0.326 0
5 1 1682 1000 u1.base u1.test 0.201156 0.591567 0.20975 0.340 0
10 1 1682 1000 u1.base u1.test 0.286862 0.695251 0.30345 0.341 0
10 1 1682 1000 u1.base u1.test 0.286862 0.695251 0.30345 0.325 0
10 1 1682 1000 u1.base u1.test 0.286862 0.695251 0.30345 0.345 0
20 1 1682 1000 u1.base u1.test 0.38519 0.793338 0.41285 0.338 0
20 1 1682 1000 u1.base u1.test 0.38519 0.793338 0.41285 0.353 0
20 1 1682 1000 u1.base u1.test 0.38519 0.793338 0.41285 0.344 0
5 2 1682 1000 u1.base u1.test 0.260781 0.678819 0.2484 0.340 0
5 2 1682 1000 u1.base u1.test 0.260781 0.678819 0.2484 0.357 0
5 2 1682 1000 u1.base u1.test 0.260781 0.678819 0.2484 0.365 0
10 2 1682 1000 u1.base u1.test 0.342198 0.765502 0.33795 0.365 0
10 2 1682 1000 u1.base u1.test 0.342198 0.765502 0.33795 0.355 0
10 2 1682 1000 u1.base u1.test 0.342198 0.765502 0.33795 0.332 0
20 2 1682 1000 u1.base u1.test 0.438719 0.847117 0.4497 0.351 0
20 2 1682 1000 u1.base u1.test 0.438719 0.847117 0.4497 0.356 0
20 2 1682 1000 u1.base u1.test 0.438719 0.847117 0.4497 0.346 0
5 3 1682 1000 u1.base u1.test 0.709558 1.02098 0.82405 0.388 0
5 3 1682 1000 u1.base u1.test 0.709558 1.02098 0.82405 0.355 0
5 3 1682 1000 u1.base u1.test 0.709558 1.02098 0.82405 0.355 0
10 3 1682 1000 u1.base u1.test 0.75022 1.01862 0.90345 0.437 0
10 3 1682 1000 u1.base u1.test 0.75022 1.01862 0.90345 0.428 0
10 3 1682 1000 u1.base u1.test 0.75022 1.01862 0.90345 0.446 0
20 3 1682 1000 u1.base u1.test 0.773881 1.01649 0.9476 0.473 0
20 3 1682 1000 u1.base u1.test 0.773881 1.01649 0.9476 0.486 0
20 3 1682 1000 u1.base u1.test 0.773881 1.01649 0.9476 0.478 0
5 0 1682 1000 u2.base u2.test 0.7062 1.01474 0.82895 0.438 0
5 0 1682 1000 u2.base u2.test 0.7062 1.01474 0.82895 0.432 0
5 0 1682 1000 u2.base u2.test 0.7062 1.01474 0.82895 0.454 0
10 0 1682 1000 u2.base u2.test 0.751826 1.02033 0.90915 0.482 0
10 0 1682 1000 u2.base u2.test 0.751826 1.02033 0.90915 0.479 0
10 0 1682 1000 u2.base u2.test 0.751826 1.02033 0.90915 0.485 0
20 0 1682 1000 u2.base u2.test 0.768685 1.00787 0.9538 0.514 0
20 0 1682 1000 u2.base u2.test 0.768685 1.00787 0.9538 0.512 0
20 0 1682 1000 u2.base u2.test 0.768685 1.00787 0.9538 0.518 0
5 1 1682 1000 u2.base u2.test 0.220044 0.611879 0.2405 0.392 0
5 1 1682 1000 u2.base u2.test 0.220044 0.611879 0.2405 0.387 0
5 1 1682 1000 u2.base u2.test 0.220044 0.611879 0.2405 0.406 0
10 1 1682 1000 u2.base u2.test 0.296168 0.700468 0.32135 0.439 0
10 1 1682 1000 u2.base u2.test 0.296168 0.700468 0.32135 0.454 0
10 1 1682 1000 u2.base u2.test 0.296168 0.700468 0.32135 0.424 0
20 1 1682 1000 u2.base u2.test 0.386877 0.792903 0.4169 0.403 0
20 1 1682 1000 u2.base u2.test 0.386877 0.792903 0.4169 0.465 0
20 1 1682 1000 u2.base u2.test 0.386877 0.792903 0.4169 0.467 0
5 2 1682 1000 u2.base u2.test 0.240998 0.637011 0.2468 0.445 0
5 2 1682 1000 u2.base u2.test 0.240998 0.637011 0.2468 0.426 0
5 2 1682 1000 u2.base u2.test 0.240998 0.637011 0.2468 0.429 0
10 2 1682 1000 u2.base u2.test 0.324736 0.732839 0.3299 0.405 0
10 2 1682 1000 u2.base u2.test 0.324736 0.732839 0.3299 0.393 0
10 2 1682 1000 u2.base u2.test 0.324736 0.732839 0.3299 0.400 0
20 2 1682 1000 u2.base u2.test 0.40195 0.803049 0.4205 0.422 0
20 2 1682 1000 u2.base u2.test 0.40195 0.803049 0.4205 0.436 0
20 2 1682 1000 u2.base u2.test 0.40195 0.803049 0.4205 0.402 0
5 3 1682 1000 u2.base u2.test 0.671318 0.990545 0.78895 0.422 0
5 3 1682 1000 u2.base u2.test 0.671318 0.990545 0.78895 0.418 0
5 3 1682 1000 u2.base u2.test 0.671318 0.990545 0.78895 0.409 0
10 3 1682 1000 u2.base u2.test 0.73374 1.01363 0.8822 0.459 0
10 3 1682 1000 u2.base u2.test 0.73374 1.01363 0.8822 0.488 0
10 3 1682 1000 u2.base u2.test 0.73374 1.01363 0.8822 0.469 0
20 3 1682 1000 u2.base u2.test 0.762403 1.00947 0.94055 0.575 0
20 3 1682 1000 u2.base u2.test 0.762403 1.00947 0.94055 0.568 0
20 3 1682 1000 u2.base u2.test 0.762403 1.00947 0.94055 0.501 0
5 0 1682 1000 u3.base u3.test 0.705082 1.01184 0.83035 0.465 0
5 0 1682 1000 u3.base u3.test 0.705082 1.01184 0.83035 0.476 0
5 0 1682 1000 u3.base u3.test 0.705082 1.01184 0.83035 0.446 0
10 0 1682 1000 u3.base u3.test 0.756511 1.02495 0.91245 0.456 0
10 0 1682 1000 u3.base u3.test 0.756511 1.02495 0.91245 0.505 0
10 0 1682 1000 u3.base u3.test 0.756511 1.02495 0.91245 0.468 0
20 0 1682 1000 u3.base u3.test 0.774827 1.01726 0.95855 0.561 0
20 0 1682 1000 u3.base u3.test 0.774827 1.01726 0.95855 0.561 0
20 0 1682 1000 u3.base u3.test 0.774827 1.01726 0.95855 0.582 0
5 1 1682 1000 u3.base u3.test 0.223818 0.630454 0.22575 0.482 0
5 1 1682 1000 u3.base u3.test 0.223818 0.630454 0.22575 0.500 0
5 1 1682 1000 u3.base u3.test 0.223818 0.630454 0.22575 0.480 0
10 1 1682 1000 u3.base u3.test 0.322498 0.73726 0.332 0.463 0
10 1 1682 1000 u3.base u3.test 0.322498 0.73726 0.332 0.477 0
10 1 1682 1000 u3.base u3.test 0.322498 0.73726 0.332 0.489 0
20 1 1682 1000 u3.base u3.test 0.41699 0.823134 0.4354 0.480 0
20 1 1682 1000 u3.base u3.test 0.41699 0.823134 0.4354 0.449 0
20 1 1682 1000 u3.base u3.test 0.41699 0.823134 0.4354 0.526 0
5 2 1682 1000 u3.base u3.test 0.245748 0.660675 0.23125 0.500 0
5 2 1682 1000 u3.base u3.test 0.245748 0.660675 0.23125 0.512 0
5 2 1682 1000 u3.base u3.test 0.245748 0.660675 0.23125 0.458 0
10 2 1682 1000 u3.base u3.test 0.344621 0.765581 0.3319 0.462 0
10 2 1682 1000 u3.base u3.test 0.344621 0.765581 0.3319 0.450 0
10 2 1682 1000 u3.base u3.test 0.344621 0.765581 0.3319 0.454 0
20 2 1682 1000 u3.base u3.test 0.432336 0.840728 0.4276 0.475 0
20 2 1682 1000 u3.base u3.test 0.432336 0.840728 0.4276 0.455 0
20 2 1682 1000 u3.base u3.test 0.432336 0.840728 0.4276 0.490 0
5 3 1682 1000 u3.base u3.test 0.677075 0.994138 0.79645 0.487 0
5 3 1682 1000 u3.base u3.test 0.677075 0.994138 0.79645 0.506 0
5 3 1682 1000 u3.base u3.test 0.677075 0.994138 0.79645 0.495 0
10 3 1682 1000 u3.base u3.test 0.736511 1.01149 0.8898 0.503 0
10 3 1682 1000 u3.base u3.test 0.736511 1.01149 0.8898 0.505 0
10 3 1682 1000 u3.base u3.test 0.736511 1.01149 0.8898 0.534 0
