k method num_movies num_users base test MAE RMSE Recall time matched_only
10 4 1682 1000 u1.base u1.test 0.784982 1.03462 0.8905 5.740 0
10 2 1682 1000 u1.base u1.test 1.08453 1.39269 0.347 5.902 0
10 0 1682 1000 u1.base u1.test 0.852646 1.09505 0.89945 5.923 0
10 3 1682 1000 u1.base u1.test 0.861762 1.10948 0.87315 5.981 0
20 2 1682 1000 u1.base u1.test 1.04578 1.3419 0.46255 6.009 0
40 1 1682 1000 u1.base u1.test 0.984352 1.2853 0.5114 6.043 0
5 1 1682 1000 u1.base u1.test 1.03781 1.36509 0.1622 6.093 0
20 0 1682 1000 u1.base u1.test 0.837506 1.06613 0.9499 6.098 0
5 2 1682 1000 u1.base u1.test 1.1171 1.45221 0.2375 6.100 0
80 1 1682 1000 u1.base u1.test 0.955865 1.23319 0.64515 6.200 0
320 2 1682 1000 u1.base u1.test 0.889785 1.12191 0.9238 6.327 0
10 1 1682 1000 u1.base u1.test 1.0323 1.35345 0.25775 6.359 0
5 4 1682 1000 u1.base u1.test 0.795218 1.06408 0.80735 6.411 0
40 2 1682 1000 u1.base u1.test 1.0163 1.29322 0.59005 6.418 0
20 1 1682 1000 u1.base u1.test 1.01492 1.32553 0.3768 6.455 0
80 3 1682 1000 u1.base u1.test 0.818908 1.03166 0.9828 6.461 0
40 3 1682 1000 u1.base u1.test 0.824387 1.04445 0.96605 6.613 0
20 3 1682 1000 u1.base u1.test 0.836611 1.06674 0.93525 6.648 0
40 0 1682 1000 u1.base u1.test 0.826053 1.04392 0.975 6.762 0
160 0 1682 1000 u1.base u1.test 0.818522 1.0257 0.9941 6.896 0
5 0 1682 1000 u1.base u1.test 0.878815 1.14481 0.81515 7.432 0
320 0 1682 1000 u1.base u1.test 0.821054 1.02739 0.9973 7.579 0
160 2 1682 1000 u1.base u1.test 0.935294 1.18159 0.82505 7.807 0
320 1 1682 1000 u1.base u1.test 0.880033 1.1228 0.90495 7.964 0
20 4 1682 1000 u1.base u1.test 0.768705 1.00194 0.93385 7.975 0
5 3 1682 1000 u1.base u1.test 0.887245 1.15538 0.777 7.984 0
80 2 1682 1000 u1.base u1.test 0.980318 1.24218 0.70905 8.090 0
80 4 1682 1000 u1.base u1.test 0.761397 0.978429 0.9723 8.212 0
80 0 1682 1000 u1.base u1.test 0.818142 1.02885 0.98785 8.298 0
160 1 1682 1000 u1.base u1.test 0.922209 1.17979 0.7824 8.539 0
320 3 1682 1000 u1.base u1.test 0.819113 1.0264 0.9961 8.613 0
160 4 1682 1000 u1.base u1.test 0.765413 0.976989 0.98155 8.951 0
40 4 1682 1000 u1.base u1.test 0.76172 0.985615 0.9583 9.046 0
160 3 1682 1000 u1.base u1.test 0.815532 1.02396 0.9907 9.170 0
320 4 1682 1000 u1.base u1.test 0.773638 0.985915 0.98745 9.443 0
10 0 1682 1000 u2.base u2.test 0.858413 1.1045 0.9012 7.260 0
5 3 1682 1000 u2.base u2.test 0.899073 1.16996 0.77515 7.313 0
40 3 1682 1000 u2.base u2.test 0.817346 1.03866 0.9679 7.572 0
160 0 1682 1000 u2.base u2.test 0.808852 1.01911 0.99435 8.247 0
10 2 1682 1000 u2.base u2.test 1.04784 1.33773 0.4803 8.554 0
5 2 1682 1000 u2.base u2.test 1.08822 1.39953 0.3578 8.697 0
20 3 1682 1000 u2.base u2.test 0.831164 1.05903 0.9359 8.741 0
20 0 1682 1000 u2.base u2.test 0.830715 1.058 0.9509 8.802 0
10 3 1682 1000 u2.base u2.test 0.855898 1.10376 0.8757 8.798 0
40 1 1682 1000 u2.base u2.test 0.931385 1.20577 0.62425 8.820 0
40 0 1682 1000 u2.base u2.test 0.817997 1.03661 0.97755 8.824 0
10 1 1682 1000 u2.base u2.test 0.981852 1.28751 0.36905 8.945 0
320 1 1682 1000 u2.base u2.test 0.859246 1.09 0.92105 9.468 0
80 4 1682 1000 u2.base u2.test 0.756855 0.976534 0.9733 9.495 0
80 3 1682 1000 u2.base u2.test 0.806688 1.02066 0.9838 10.134 0
20 4 1682 1000 u2.base u2.test 0.767901 1.0039 0.93205 10.438 0
5 0 1682 1000 u2.base u2.test 0.891748 1.15712 0.81375 10.806 0
5 4 1682 1000 u2.base u2.test 0.789413 1.05432 0.8017 10.916 0
5 1 1682 1000 u2.base u2.test 1.00649 1.3313 0.2562 10.968 0
160 4 1682 1000 u2.base u2.test 0.758763 0.97513 0.9819 11.178 0
80 2 1682 1000 u2.base u2.test 0.937311 1.1816 0.7908 11.236 0
160 1 1682 1000 u2.base u2.test 0.888168 1.13759 0.83615 11.297 0
320 3 1682 1000 u2.base u2.test 0.810213 1.02067 0.99595 11.305 0
320 2 1682 1000 u2.base u2.test 0.872181 1.09514 0.94285 11.420 0
40 4 1682 1000 u2.base u2.test 0.759926 0.986734 0.95885 11.747 0
160 3 1682 1000 u2.base u2.test 0.806401 1.01818 0.99175 11.956 0
40 2 1682 1000 u2.base u2.test 0.979822 1.23616 0.70285 12.135 0
20 1 1682 1000 u2.base u2.test 0.965825 1.25298 0.5034 12.140 0
20 2 1682 1000 u2.base u2.test 1.01767 1.29115 0.59455 12.150 0
160 2 1682 1000 u2.base u2.test 0.910876 1.14872 0.8764 12.267 0
10 4 1682 1000 u2.base u2.test 0.77936 1.02725 0.88355 12.280 0
80 1 1682 1000 u2.base u2.test 0.920916 1.1797 0.7355 12.335 0
80 0 1682 1000 u2.base u2.test 0.80901 1.02207 0.9896 12.432 0
320 4 1682 1000 u2.base u2.test 0.765399 0.979944 0.98615 12.466 0
320 0 1682 1000 u2.base u2.test 0.813252 1.02281 0.99695 13.035 0
5 0 1682 1000 u3.base u3.test 0.89985 1.17498 0.80955 9.761 0
5 1 1682 1000 u3.base u3.test 0.996505 1.31156 0.2778 9.819 0
5 2 1682 1000 u3.base u3.test 1.09251 1.39478 0.35955 9.833 0
20 3 1682 1000 u3.base u3.test 0.835895 1.06978 0.9395 9.953 0
40 3 1682 1000 u3.base u3.test 0.814427 1.0377 0.97 11.577 0
10 4 1682 1000 u3.base u3.test 0.782338 1.03306 0.89345 12.075 0
10 2 1682 1000 u3.base u3.test 1.04441 1.33396 0.48625 12.128 0
10 3 1682 1000 u3.base u3.test 0.868364 1.12287 0.87645 12.206 0
20 1 1682 1000 u3.base u3.test 0.964615 1.25008 0.53595 12.218 0
40 0 1682 1000 u3.base u3.test 0.815133 1.03705 0.9779 12.346 0
40 4 1682 1000 u3.base u3.test 0.758095 0.981228 0.96045 12.429 0
80 2 1682 1000 u3.base u3.test 0.92747 1.1684 0.80675 12.442 0
80 3 1682 1000 u3.base u3.test 0.805068 1.02016 0.98385 12.550 0
40 1 1682 1000 u3.base u3.test 0.939765 1.20825 0.657 12.602 0
320 2 1682 1000 u3.base u3.test 0.860677 1.08076 0.9434 12.715 0
160 1 1682 1000 u3.base u3.test 0.885085 1.12412 0.84945 13.579 0
320 3 1682 1000 u3.base u3.test 0.803125 1.01124 0.9958 13.788 0
320 1 1682 1000 u3.base u3.test 0.853085 1.0796 0.9235 14.229 0
80 0 1682 1000 u3.base u3.test 0.807341 1.02102 0.9888 14.346 0
160 3 1682 1000 u3.base u3.test 0.801425 1.01233 0.9917 14.357 0
10 0 1682 1000 u3.base u3.test 0.863642 1.11371 0.90195 14.454 0
160 0 1682 1000 u3.base u3.test 0.803714 1.01354 0.9941 14.476 0
5 3 1682 1000 u3.base u3.test 0.898637 1.17631 0.77255 14.639 0
40 2 1682 1000 u3.base u3.test 0.971153 1.22782 0.7157 14.691 0
160 4 1682 1000 u3.base u3.test 0.754502 0.965314 0.98235 14.781 0
5 4 1682 1000 u3.base u3.test 0.793741 1.06444 0.815 15.105 0
10 1 1682 1000 u3.base u3.test 0.983491 1.28794 0.406 15.219 0
320 4 1682 1000 u3.base u3.test 0.762126 0.971318 0.98755 15.324 0
20 4 1682 1000 u3.base u3.test 0.76556 0.999832 0.9364 15.401 0
20 0 1682 1000 u3.base u3.test 0.833314 1.06442 0.955 15.420 0
20 2 1682 1000 u3.base u3.test 1.01363 1.28523 0.61025 15.430 0
80 1 1682 1000 u3.base u3.test 0.906694 1.16113 0.76085 15.456 0
320 0 1682 1000 u3.base u3.test 0.805253 1.01413 0.9969 16.168 0
160 2 1682 1000 u3.base u3.test 0.897343 1.12876 0.8835 16.802 0
80 4 1682 1000 u3.base u3.test 0.753869 0.968658 0.97455 17.485 0
5 2 1682 1000 u4.base u4.test 1.03913 1.34797 0.34075 11.461 0
10 0 1682 1000 u4.base u4.test 0.858794 1.10647 0.91225 11.770 0
10 3 1682 1000 u4.base u4.test 0.861275 1.10912 0.88115 11.910 0
40 2 1682 1000 u4.base u4.test 0.963135 1.22375 0.70015 12.024 0
5 0 1682 1000 u4.base u4.test 0.89017 1.15763 0.82205 12.057 0
10 2 1682 1000 u4.base u4.test 1.02066 1.31061 0.4641 12.149 0
20 1 1682 1000 u4.base u4.test 0.956112 1.24347 0.51105 12.182 0
80 2 1682 1000 u4.base u4.test 0.933395 1.18328 0.79345 12.187 0
40 3 1682 1000 u4.base u4.test 0.813698 1.03442 0.97205 12.207 0
80 0 1682 1000 u4.base u4.test 0.803093 1.01432 0.99025 12.370 0
160 1 1682 1000 u4.base u4.test 0.887104 1.13159 0.84025 12.430 0
160 0 1682 1000 u4.base u4.test 0.801026 1.00921 0.9954 12.435 0
40 1 1682 1000 u4.base u4.test 0.936397 1.20448 0.6343 12.515 0
10 4 1682 1000 u4.base u4.test 0.785475 1.03103 0.89985 12.645 0
20 3 1682 1000 u4.base u4.test 0.833157 1.06553 0.94165 12.678 0
40 0 1682 1000 u4.base u4.test 0.813063 1.03202 0.9791 12.736 0
20 4 1682 1000 u4.base u4.test 0.769042 0.998531 0.94055 12.891 0
320 1 1682 1000 u4.base u4.test 0.858025 1.08897 0.92255 12.947 0
