k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 1682 1000 u1.base u1.test 0.847216 1.06677 0.9984 4.014 1
5 0 1682 1000 u1.base u1.test 0.847216 1.06677 0.9984 4.436 1
5 0 1682 1000 u1.base u1.test 0.847216 1.06677 0.9984 4.606 1
10 0 1682 1000 u1.base u1.test 0.826317 1.03559 0.9984 4.071 1
10 0 1682 1000 u1.base u1.test 0.826317 1.03559 0.9984 4.177 1
10 0 1682 1000 u1.base u1.test 0.826317 1.03559 0.9984 4.262 1
20 0 1682 1000 u1.base u1.test 0.816587 1.02259 0.9984 4.066 1
20 0 1682 1000 u1.base u1.test 0.816587 1.02259 0.9984 4.107 1
20 0 1682 1000 u1.base u1.test 0.816587 1.02259 0.9984 4.199 1
5 1 1682 1000 u1.base u1.test 0.888452 1.10967 0.9984 4.062 1
5 1 1682 1000 u1.base u1.test 0.888452 1.10967 0.9984 4.085 1
5 1 1682 1000 u1.base u1.test 0.888452 1.10967 0.9984 4.239 1
10 1 1682 1000 u1.base u1.test 0.849459 1.06014 0.9984 4.029 1
10 1 1682 1000 u1.base u1.test 0.849459 1.06014 0.9984 4.100 1
10 1 1682 1000 u1.base u1.test 0.849459 1.06014 0.9984 4.251 1
20 1 1682 1000 u1.base u1.test 0.8307 1.03822 0.9984 4.119 1
20 1 1682 1000 u1.base u1.test 0.8307 1.03822 0.9984 4.149 1
20 1 1682 1000 u1.base u1.test 0.8307 1.03822 0.9984 4.280 1
5 2 1682 1000 u1.base u1.test 0.917167 1.1339 0.9984 4.008 1
5 2 1682 1000 u1.base u1.test 0.917167 1.1339 0.9984 4.054 1
5 2 1682 1000 u1.base u1.test 0.917167 1.1339 0.9984 4.172 1
10 2 1682 1000 u1.base u1.test 0.872376 1.07593 0.9984 4.089 1
10 2 1682 1000 u1.base u1.test 0.872376 1.07593 0.9984 4.101 1
10 2 1682 1000 u1.base u1.test 0.872376 1.07593 0.9984 4.282 1
20 2 1682 1000 u1.base u1.test 0.846172 1.04779 0.9984 4.097 1
20 2 1682 1000 u1.base u1.test 0.846172 1.04779 0.9984 4.116 1
20 2 1682 1000 u1.base u1.test 0.846172 1.04779 0.9984 4.300 1
5 3 1682 1000 u1.base u1.test 0.849038 1.07028 0.9984 4.107 1
5 3 1682 1000 u1.base u1.test 0.849038 1.07028 0.9984 4.119 1
5 3 1682 1000 u1.base u1.test 0.849038 1.07028 0.9984 4.253 1
10 3 1682 1000 u1.base u1.test 0.824404 1.03419 0.9984 4.074 1
