k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 3952 6040 u1.base u1.test 0.726493 1.01248 0.871976 18.518 0
5 0 3952 6040 u1.base u1.test 0.726493 1.01248 0.871976 18.711 0
5 0 3952 6040 u1.base u1.test 0.726493 1.01248 0.871976 19.394 0
10 0 3952 6040 u1.base u1.test 0.748845 0.995644 0.932694 20.047 0
10 0 3952 6040 u1.base u1.test 0.748845 0.995644 0.932694 20.116 0
10 0 3952 6040 u1.base u1.test 0.748845 0.995644 0.932694 20.172 0
20 0 3952 6040 u1.base u1.test 0.755123 0.979042 0.965317 22.210 0
20 0 3952 6040 u1.base u1.test 0.755123 0.979042 0.965317 22.308 0
20 0 3952 6040 u1.base u1.test 0.755123 0.979042 0.965317 22.395 0
5 1 3952 6040 u1.base u1.test 0.398694 0.767613 0.484436 21.390 0
5 1 3952 6040 u1.base u1.test 0.398694 0.767613 0.484436 21.527 0
5 1 3952 6040 u1.base u1.test 0.398694 0.767613 0.484436 21.567 0
10 1 3952 6040 u1.base u1.test 0.484375 0.83007 0.594418 21.205 0
10 1 3952 6040 u1.base u1.test 0.484375 0.83007 0.594418 21.368 0
10 1 3952 6040 u1.base u1.test 0.484375 0.83007 0.594418 21.548 0
20 1 3952 6040 u1.base u1.test 0.561565 0.881414 0.696432 21.135 0
20 1 3952 6040 u1.base u1.test 0.561565 0.881414 0.696432 21.303 0
20 1 3952 6040 u1.base u1.test 0.561565 0.881414 0.696432 21.422 0
5 2 3952 6040 u1.base u1.test 0.525403 0.915369 0.557626 22.317 0
5 2 3952 6040 u1.base u1.test 0.525403 0.915369 0.557626 22.373 0
5 2 3952 6040 u1.base u1.test 0.525403 0.915369 0.557626 22.547 0
10 2 3952 6040 u1.base u1.test 0.604742 0.955958 0.663744 24.989 0
10 2 3952 6040 u1.base u1.test 0.604742 0.955958 0.663744 25.043 0
10 2 3952 6040 u1.base u1.test 0.604742 0.955958 0.663744 25.059 0
20 2 3952 6040 u1.base u1.test 0.668653 0.981725 0.75823 23.848 0
20 2 3952 6040 u1.base u1.test 0.668653 0.981725 0.75823 23.985 0
20 2 3952 6040 u1.base u1.test 0.668653 0.981725 0.75823 24.026 0
5 3 3952 6040 u1.base u1.test 0.69937 0.996007 0.839078 23.761 0
5 3 3952 6040 u1.base u1.test 0.69937 0.996007 0.839078 23.812 0
5 3 3952 6040 u1.base u1.test 0.69937 0.996007 0.839078 23.851 0
10 3 3952 6040 u1.base u1.test 0.733073 0.989685 0.909943 20.374 0
10 3 3952 6040 u1.base u1.test 0.733073 0.989685 0.909943 20.832 0
10 3 3952 6040 u1.base u1.test 0.733073 0.989685 0.909943 20.949 0
20 3 3952 6040 u1.base u1.test 0.747282 0.977097 0.95264 20.918 0
20 3 3952 6040 u1.base u1.test 0.747282 0.977097 0.95264 20.984 0
