k method num_movies num_users base test MAE RMSE Recall time matched_only
10 0 3952 6040 u1.base u1.test 0.782301 0.985474 0.999815 172.793 1
20 0 3952 6040 u1.base u1.test 0.769988 0.96862 0.999815 162.570 1
80 0 3952 6040 u1.base u1.test 0.766393 0.963496 0.999815 169.116 1
10 1 3952 6040 u1.base u1.test 0.808716 1.01031 0.999815 164.452 1
20 1 3952 6040 u1.base u1.test 0.791109 0.988163 0.999815 164.711 1
80 1 3952 6040 u1.base u1.test 0.779823 0.976244 0.999815 167.443 1
10 2 3952 6040 u1.base u1.test 0.84771 1.04566 0.999815 162.662 1
20 2 3952 6040 u1.base u1.test 0.817814 1.00944 0.999815 156.841 1
80 2 3952 6040 u1.base u1.test 0.790036 0.981552 0.999815 161.478 1
10 3 3952 6040 u1.base u1.test 0.781685 0.983885 0.999815 166.621 1
20 3 3952 6040 u1.base u1.test 0.768985 0.96677 0.999815 175.584 1
80 3 3952 6040 u1.base u1.test 0.764607 0.961182 0.999815 173.362 1
10 4 3952 6040 u1.base u1.test 0.720049 0.927455 0.999815 184.318 1
20 4 3952 6040 u1.base u1.test 0.715889 0.919313 0.999815 183.950 1
80 4 3952 6040 u1.base u1.test 0.726667 0.928137 0.999815 185.070 1
10 0 3952 6040 u2.base u2.test 0.781608 0.983455 0.999865 168.402 1
20 0 3952 6040 u2.base u2.test 0.769568 0.967298 0.999865 162.679 1
80 0 3952 6040 u2.base u2.test 0.765495 0.961989 0.999865 166.981 1
10 1 3952 6040 u2.base u2.test 0.807885 1.00837 0.999865 169.239 1
20 1 3952 6040 u2.base u2.test 0.791383 0.987364 0.999865 164.313 1
80 1 3952 6040 u2.base u2.test 0.779936 0.97619 0.999865 169.267 1
10 2 3952 6040 u2.base u2.test 0.845672 1.04198 0.999865 166.286 1
20 2 3952 6040 u2.base u2.test 0.817565 1.00812 0.999865 168.724 1
80 2 3952 6040 u2.base u2.test 0.789881 0.981062 0.999865 170.625 1
10 3 3952 6040 u2.base u2.test 0.780168 0.981678 0.999865 164.569 1
20 3 3952 6040 u2.base u2.test 0.768384 0.965513 0.999865 166.386 1
80 3 3952 6040 u2.base u2.test 0.763623 0.959722 0.999865 168.732 1
