k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 1682 1000 u1.base u1.test 1.03139 1.36766 0.13755 0.521 0
5 0 1682 1000 u1.base u1.test 1.03139 1.36766 0.13755 0.525 0
5 0 1682 1000 u1.base u1.test 1.03139 1.36766 0.13755 0.527 0
10 0 1682 1000 u1.base u1.test 1.02091 1.34846 0.1995 0.544 0
10 0 1682 1000 u1.base u1.test 1.02091 1.34846 0.1995 0.549 0
10 0 1682 1000 u1.base u1.test 1.02091 1.34846 0.1995 0.555 0
20 0 1682 1000 u1.base u1.test 1.00126 1.31742 0.28425 0.547 0
20 0 1682 1000 u1.base u1.test 1.00126 1.31742 0.28425 0.552 0
20 0 1682 1000 u1.base u1.test 1.00126 1.31742 0.28425 0.564 0
5 1 1682 1000 u1.base u1.test 1.05107 1.41796 0.1108 0.519 0
5 1 1682 1000 u1.base u1.test 1.05107 1.41796 0.1108 0.526 0
5 1 1682 1000 u1.base u1.test 1.05107 1.41796 0.1108 0.533 0
10 1 1682 1000 u1.base u1.test 1.04329 1.38459 0.17015 0.517 0
10 1 1682 1000 u1.base u1.test 1.04329 1.38459 0.17015 0.536 0
10 1 1682 1000 u1.base u1.test 1.04329 1.38459 0.17015 0.541 0
20 1 1682 1000 u1.base u1.test 1.01755 1.35084 0.2513 0.535 0
20 1 1682 1000 u1.base u1.test 1.01755 1.35084 0.2513 0.539 0
20 1 1682 1000 u1.base u1.test 1.01755 1.35084 0.2513 0.544 0
5 2 1682 1000 u1.base u1.test 1.06638 1.41727 0.1061 0.527 0
5 2 1682 1000 u1.base u1.test 1.06638 1.41727 0.1061 0.529 0
5 2 1682 1000 u1.base u1.test 1.06638 1.41727 0.1061 0.537 0
10 2 1682 1000 u1.base u1.test 1.03876 1.37561 0.1703 0.549 0
10 2 1682 1000 u1.base u1.test 1.03876 1.37561 0.1703 0.552 0
10 2 1682 1000 u1.base u1.test 1.03876 1.37561 0.1703 0.557 0
20 2 1682 1000 u1.base u1.test 0.997791 1.32716 0.2525 0.533 0
20 2 1682 1000 u1.base u1.test 0.997791 1.32716 0.2525 0.534 0
20 2 1682 1000 u1.base u1.test 0.997791 1.32716 0.2525 0.548 0
5 3 1682 1000 u1.base u1.test 1.05637 1.39266 0.12305 0.533 0
5 3 1682 1000 u1.base u1.test 1.05637 1.39266 0.12305 0.534 0
5 3 1682 1000 u1.base u1.test 1.05637 1.39266 0.12305 0.542 0
10 3 1682 1000 u1.base u1.test 1.03371 1.36928 0.1864 0.541 0
10 3 1682 1000 u1.base u1.test 1.03371 1.36928 0.1864 0.549 0
10 3 1682 1000 u1.base u1.test 1.03371 1.36928 0.1864 0.561 0
20 3 1682 1000 u1.base u1.test 1.00762 1.32798 0.27985 0.559 0
20 3 1682 1000 u1.base u1.test 1.00762 1.32798 0.27985 0.560 0
20 3 1682 1000 u1.base u1.test 1.00762 1.32798 0.27985 0.562 0
5 0 1682 1000 u2.base u2.test 1.00168 1.34084 0.12765 0.716 0
5 0 1682 1000 u2.base u2.test 1.00168 1.34084 0.12765 0.718 0
5 0 1682 1000 u2.base u2.test 1.00168 1.34084 0.12765 0.722 0
10 0 1682 1000 u2.base u2.test 0.989134 1.31671 0.18915 0.736 0
10 0 1682 1000 u2.base u2.test 0.989134 1.31671 0.18915 0.739 0
10 0 1682 1000 u2.base u2.test 0.989134 1.31671 0.18915 0.750 0
20 0 1682 1000 u2.base u2.test 0.987213 1.29847 0.27515 0.735 0
20 0 1682 1000 u2.base u2.test 0.987213 1.29847 0.27515 0.744 0
20 0 1682 1000 u2.base u2.test 0.987213 1.29847 0.27515 0.752 0
5 1 1682 1000 u2.base u2.test 1.05368 1.3987 0.10855 0.709 0
5 1 1682 1000 u2.base u2.test 1.05368 1.3987 0.10855 0.719 0
5 1 1682 1000 u2.base u2.test 1.05368 1.3987 0.10855 0.731 0
10 1 1682 1000 u2.base u2.test 1.00991 1.33366 0.16975 0.709 0
10 1 1682 1000 u2.base u2.test 1.00991 1.33366 0.16975 0.709 0
10 1 1682 1000 u2.base u2.test 1.00991 1.33366 0.16975 0.718 0
20 1 1682 1000 u2.base u2.test 0.97301 1.29447 0.24465 0.720 0
20 1 1682 1000 u2.base u2.test 0.97301 1.29447 0.24465 0.731 0
20 1 1682 1000 u2.base u2.test 0.97301 1.29447 0.24465 0.744 0
5 2 1682 1000 u2.base u2.test 1.04319 1.40971 0.1098 0.704 0
5 2 1682 1000 u2.base u2.test 1.04319 1.40971 0.1098 0.732 0
5 2 1682 1000 u2.base u2.test 1.04319 1.40971 0.1098 0.733 0
10 2 1682 1000 u2.base u2.test 1.00987 1.3497 0.16835 0.714 0
10 2 1682 1000 u2.base u2.test 1.00987 1.3497 0.16835 0.719 0
10 2 1682 1000 u2.base u2.test 1.00987 1.3497 0.16835 0.720 0
20 2 1682 1000 u2.base u2.test 0.967358 1.29235 0.2457 0.742 0
20 2 1682 1000 u2.base u2.test 0.967358 1.29235 0.2457 0.742 0
20 2 1682 1000 u2.base u2.test 0.967358 1.29235 0.2457 0.744 0
5 3 1682 1000 u2.base u2.test 1.08433 1.41761 0.11905 0.750 0
5 3 1682 1000 u2.base u2.test 1.08433 1.41761 0.11905 0.754 0
5 3 1682 1000 u2.base u2.test 1.08433 1.41761 0.11905 0.759 0
10 3 1682 1000 u2.base u2.test 1.04088 1.36494 0.1864 0.733 0
10 3 1682 1000 u2.base u2.test 1.04088 1.36494 0.1864 0.745 0
10 3 1682 1000 u2.base u2.test 1.04088 1.36494 0.1864 0.750 0
20 3 1682 1000 u2.base u2.test 0.998492 1.3118 0.2779 0.742 0
20 3 1682 1000 u2.base u2.test 0.998492 1.3118 0.2779 0.753 0
20 3 1682 1000 u2.base u2.test 0.998492 1.3118 0.2779 0.770 0
5 0 1682 1000 u3.base u3.test 1.0651 1.40536 0.13585 0.916 0
5 0 1682 1000 u3.base u3.test 1.0651 1.40536 0.13585 0.916 0
5 0 1682 1000 u3.base u3.test 1.0651 1.40536 0.13585 0.919 0
10 0 1682 1000 u3.base u3.test 1.01865 1.34235 0.1996 0.926 0
10 0 1682 1000 u3.base u3.test 1.01865 1.34235 0.1996 0.958 0
10 0 1682 1000 u3.base u3.test 1.01865 1.34235 0.1996 0.973 0
20 0 1682 1000 u3.base u3.test 1.00025 1.31166 0.28485 0.982 0
20 0 1682 1000 u3.base u3.test 1.00025 1.31166 0.28485 0.990 0
20 0 1682 1000 u3.base u3.test 1.00025 1.31166 0.28485 0.995 0
5 1 1682 1000 u3.base u3.test 1.0246 1.38097 0.1092 0.953 0
5 1 1682 1000 u3.base u3.test 1.0246 1.38097 0.1092 0.959 0
5 1 1682 1000 u3.base u3.test 1.0246 1.38097 0.1092 0.974 0
10 1 1682 1000 u3.base u3.test 1.01847 1.35582 0.16895 0.942 0
10 1 1682 1000 u3.base u3.test 1.01847 1.35582 0.16895 0.958 0
10 1 1682 1000 u3.base u3.test 1.01847 1.35582 0.16895 0.963 0
20 1 1682 1000 u3.base u3.test 0.993139 1.31434 0.2461 0.977 0
20 1 1682 1000 u3.base u3.test 0.993139 1.31434 0.2461 0.980 0
20 1 1682 1000 u3.base u3.test 0.993139 1.31434 0.2461 0.987 0
5 2 1682 1000 u3.base u3.test 1.04216 1.37444 0.10555 0.974 0
5 2 1682 1000 u3.base u3.test 1.04216 1.37444 0.10555 0.982 0
5 2 1682 1000 u3.base u3.test 1.04216 1.37444 0.10555 0.999 0
10 2 1682 1000 u3.base u3.test 1.02616 1.35135 0.1683 0.945 0
10 2 1682 1000 u3.base u3.test 1.02616 1.35135 0.1683 0.980 0
10 2 1682 1000 u3.base u3.test 1.02616 1.35135 0.1683 0.993 0
20 2 1682 1000 u3.base u3.test 0.996248 1.31146 0.249 0.976 0
20 2 1682 1000 u3.base u3.test 0.996248 1.31146 0.249 0.981 0
20 2 1682 1000 u3.base u3.test 0.996248 1.31146 0.249 0.983 0
5 3 1682 1000 u3.base u3.test 1.09146 1.43265 0.12505 0.970 0
5 3 1682 1000 u3.base u3.test 1.09146 1.43265 0.12505 0.979 0
5 3 1682 1000 u3.base u3.test 1.09146 1.43265 0.12505 0.993 0
10 3 1682 1000 u3.base u3.test 1.0593 1.38942 0.19485 0.994 0
10 3 1682 1000 u3.base u3.test 1.0593 1.38942 0.19485 1.015 0
10 3 1682 1000 u3.base u3.test 1.0593 1.38942 0.19485 1.024 0
20 3 1682 1000 u3.base u3.test 1.02562 1.34241 0.28485 0.976 0
20 3 1682 1000 u3.base u3.test 1.02562 1.34241 0.28485 0.992 0
20 3 1682 1000 u3.base u3.test 1.02562 1.34241 0.28485 0.999 0
5 0 1682 1000 u4.base u4.test 1.01068 1.33333 0.13755 1.024 0
5 0 1682 1000 u4.base u4.test 1.01068 1.33333 0.13755 1.040 0
5 0 1682 1000 u4.base u4.test 1.01068 1.33333 0.13755 1.046 0
10 0 1682 1000 u4.base u4.test 1.00719 1.32165 0.1995 1.040 0
10 0 1682 1000 u4.base u4.test 1.00719 1.32165 0.1995 1.047 0
10 0 1682 1000 u4.base u4.test 1.00719 1.32165 0.1995 1.071 0
20 0 1682 1000 u4.base u4.test 0.988038 1.28669 0.2808 1.041 0
20 0 1682 1000 u4.base u4.test 0.988038 1.28669 0.2808 1.049 0
20 0 1682 1000 u4.base u4.test 0.988038 1.28669 0.2808 1.056 0
5 1 1682 1000 u4.base u4.test 1.04753 1.39199 0.1069 1.028 0
5 1 1682 1000 u4.base u4.test 1.04753 1.39199 0.1069 1.037 0
5 1 1682 1000 u4.base u4.test 1.04753 1.39199 0.1069 1.040 0
10 1 1682 1000 u4.base u4.test 1.0084 1.33875 0.1678 1.042 0
10 1 1682 1000 u4.base u4.test 1.0084 1.33875 0.1678 1.049 0
10 1 1682 1000 u4.base u4.test 1.0084 1.33875 0.1678 1.058 0
20 1 1682 1000 u4.base u4.test 0.98163 1.28997 0.2446 1.045 0
20 1 1682 1000 u4.base u4.test 0.98163 1.28997 0.2446 1.047 0
20 1 1682 1000 u4.base u4.test 0.98163 1.28997 0.2446 1.066 0
