k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 1682 1000 u1.base u1.test 0.857943 1.08676 0.9984 1.829 1
5 0 1682 1000 u1.base u1.test 0.857943 1.08676 0.9984 1.834 1
5 0 1682 1000 u1.base u1.test 0.857943 1.08676 0.9984 1.833 1
10 0 1682 1000 u1.base u1.test 0.829032 1.04607 0.9984 1.838 1
10 0 1682 1000 u1.base u1.test 0.829032 1.04607 0.9984 1.848 1
10 0 1682 1000 u1.base u1.test 0.829032 1.04607 0.9984 1.849 1
20 0 1682 1000 u1.base u1.test 0.814544 1.02702 0.9984 1.911 1
20 0 1682 1000 u1.base u1.test 0.814544 1.02702 0.9984 1.911 1
20 0 1682 1000 u1.base u1.test 0.814544 1.02702 0.9984 1.914 1
5 1 1682 1000 u1.base u1.test 0.86896 1.10036 0.9984 1.844 1
5 1 1682 1000 u1.base u1.test 0.86896 1.10036 0.9984 1.847 1
5 1 1682 1000 u1.base u1.test 0.86896 1.10036 0.9984 1.856 1
10 1 1682 1000 u1.base u1.test 0.834761 1.05509 0.9984 1.910 1
10 1 1682 1000 u1.base u1.test 0.834761 1.05509 0.9984 1.912 1
10 1 1682 1000 u1.base u1.test 0.834761 1.05509 0.9984 1.913 1
20 1 1682 1000 u1.base u1.test 0.820233 1.03296 0.9984 1.914 1
20 1 1682 1000 u1.base u1.test 0.820233 1.03296 0.9984 1.923 1
20 1 1682 1000 u1.base u1.test 0.820233 1.03296 0.9984 1.924 1
5 2 1682 1000 u1.base u1.test 0.859856 1.08933 0.9984 1.835 1
5 2 1682 1000 u1.base u1.test 0.859856 1.08933 0.9984 1.840 1
5 2 1682 1000 u1.base u1.test 0.859856 1.08933 0.9984 1.843 1
10 2 1682 1000 u1.base u1.test 0.828025 1.04533 0.9984 1.880 1
10 2 1682 1000 u1.base u1.test 0.828025 1.04533 0.9984 1.884 1
10 2 1682 1000 u1.base u1.test 0.828025 1.04533 0.9984 1.886 1
20 2 1682 1000 u1.base u1.test 0.813893 1.02511 0.9984 1.899 1
20 2 1682 1000 u1.base u1.test 0.813893 1.02511 0.9984 1.905 1
20 2 1682 1000 u1.base u1.test 0.813893 1.02511 0.9984 1.907 1
5 3 1682 1000 u1.base u1.test 0.860587 1.09072 0.9984 1.845 1
5 3 1682 1000 u1.base u1.test 0.860587 1.09072 0.9984 1.847 1
5 3 1682 1000 u1.base u1.test 0.860587 1.09072 0.9984 1.893 1
10 3 1682 1000 u1.base u1.test 0.829538 1.04746 0.9984 1.824 1
10 3 1682 1000 u1.base u1.test 0.829538 1.04746 0.9984 1.838 1
10 3 1682 1000 u1.base u1.test 0.829538 1.04746 0.9984 1.843 1
20 3 1682 1000 u1.base u1.test 0.814905 1.02766 0.9984 1.908 1
20 3 1682 1000 u1.base u1.test 0.814905 1.02766 0.9984 1.914 1
20 3 1682 1000 u1.base u1.test 0.814905 1.02766 0.9984 1.917 1
5 0 1682 1000 u2.base u2.test 0.850826 1.08306 0.9982 2.071 1
5 0 1682 1000 u2.base u2.test 0.850826 1.08306 0.9982 2.085 1
5 0 1682 1000 u2.base u2.test 0.850826 1.08306 0.9982 2.085 1
10 0 1682 1000 u2.base u2.test 0.822257 1.04388 0.9982 2.102 1
10 0 1682 1000 u2.base u2.test 0.822257 1.04388 0.9982 2.115 1
10 0 1682 1000 u2.base u2.test 0.822257 1.04388 0.9982 2.123 1
20 0 1682 1000 u2.base u2.test 0.809332 1.02715 0.9982 2.125 1
20 0 1682 1000 u2.base u2.test 0.809332 1.02715 0.9982 2.125 1
20 0 1682 1000 u2.base u2.test 0.809332 1.02715 0.9982 2.131 1
5 1 1682 1000 u2.base u2.test 0.863739 1.09707 0.9982 2.065 1
5 1 1682 1000 u2.base u2.test 0.863739 1.09707 0.9982 2.067 1
5 1 1682 1000 u2.base u2.test 0.863739 1.09707 0.9982 2.074 1
10 1 1682 1000 u2.base u2.test 0.830653 1.05164 0.9982 2.096 1
10 1 1682 1000 u2.base u2.test 0.830653 1.05164 0.9982 2.096 1
10 1 1682 1000 u2.base u2.test 0.830653 1.05164 0.9982 2.096 1
20 1 1682 1000 u2.base u2.test 0.816045 1.03053 0.9982 2.094 1
20 1 1682 1000 u2.base u2.test 0.816045 1.03053 0.9982 2.099 1
20 1 1682 1000 u2.base u2.test 0.816045 1.03053 0.9982 2.106 1
5 2 1682 1000 u2.base u2.test 0.852318 1.08402 0.9982 2.020 1
5 2 1682 1000 u2.base u2.test 0.852318 1.08402 0.9982 2.029 1
5 2 1682 1000 u2.base u2.test 0.852318 1.08402 0.9982 2.036 1
10 2 1682 1000 u2.base u2.test 0.820915 1.03914 0.9982 2.039 1
10 2 1682 1000 u2.base u2.test 0.820915 1.03914 0.9982 2.046 1
10 2 1682 1000 u2.base u2.test 0.820915 1.03914 0.9982 2.069 1
20 2 1682 1000 u2.base u2.test 0.807747 1.02151 0.9982 2.093 1
20 2 1682 1000 u2.base u2.test 0.807747 1.02151 0.9982 2.098 1
20 2 1682 1000 u2.base u2.test 0.807747 1.02151 0.9982 2.098 1
5 3 1682 1000 u2.base u2.test 0.85301 1.0862 0.9982 2.047 1
5 3 1682 1000 u2.base u2.test 0.85301 1.0862 0.9982 2.077 1
5 3 1682 1000 u2.base u2.test 0.85301 1.0862 0.9982 2.077 1
10 3 1682 1000 u2.base u2.test 0.822979 1.04466 0.9982 1.999 1
10 3 1682 1000 u2.base u2.test 0.822979 1.04466 0.9982 1.999 1
10 3 1682 1000 u2.base u2.test 0.822979 1.04466 0.9982 1.999 1
20 3 1682 1000 u2.base u2.test 0.809493 1.02729 0.9982 2.074 1
20 3 1682 1000 u2.base u2.test 0.809493 1.02729 0.9982 2.077 1
20 3 1682 1000 u2.base u2.test 0.809493 1.02729 0.9982 2.083 1
5 0 1682 1000 u3.base u3.test 0.849625 1.07931 0.9982 2.318 1
5 0 1682 1000 u3.base u3.test 0.849625 1.07931 0.9982 2.339 1
5 0 1682 1000 u3.base u3.test 0.849625 1.07931 0.9982 2.340 1
10 0 1682 1000 u3.base u3.test 0.820627 1.04042 0.9982 2.319 1
10 0 1682 1000 u3.base u3.test 0.820627 1.04042 0.9982 2.330 1
10 0 1682 1000 u3.base u3.test 0.820627 1.04042 0.9982 2.338 1
20 0 1682 1000 u3.base u3.test 0.805686 1.02126 0.9982 2.375 1
20 0 1682 1000 u3.base u3.test 0.805686 1.02126 0.9982 2.391 1
20 0 1682 1000 u3.base u3.test 0.805686 1.02126 0.9982 2.397 1
5 1 1682 1000 u3.base u3.test 0.859974 1.08866 0.9982 2.304 1
5 1 1682 1000 u3.base u3.test 0.859974 1.08866 0.9982 2.308 1
5 1 1682 1000 u3.base u3.test 0.859974 1.08866 0.9982 2.321 1
10 1 1682 1000 u3.base u3.test 0.82526 1.0434 0.9982 2.312 1
10 1 1682 1000 u3.base u3.test 0.82526 1.0434 0.9982 2.329 1
10 1 1682 1000 u3.base u3.test 0.82526 1.0434 0.9982 2.330 1
20 1 1682 1000 u3.base u3.test 0.808894 1.02177 0.9982 2.289 1
20 1 1682 1000 u3.base u3.test 0.808894 1.02177 0.9982 2.302 1
20 1 1682 1000 u3.base u3.test 0.808894 1.02177 0.9982 2.303 1
5 2 1682 1000 u3.base u3.test 0.849836 1.07822 0.9982 2.245 1
5 2 1682 1000 u3.base u3.test 0.849836 1.07822 0.9982 2.252 1
5 2 1682 1000 u3.base u3.test 0.849836 1.07822 0.9982 2.261 1
10 2 1682 1000 u3.base u3.test 0.816735 1.03365 0.9982 2.286 1
10 2 1682 1000 u3.base u3.test 0.816735 1.03365 0.9982 2.296 1
10 2 1682 1000 u3.base u3.test 0.816735 1.03365 0.9982 2.309 1
20 2 1682 1000 u3.base u3.test 0.8024 1.01394 0.9982 2.270 1
20 2 1682 1000 u3.base u3.test 0.8024 1.01394 0.9982 2.303 1
20 2 1682 1000 u3.base u3.test 0.8024 1.01394 0.9982 2.313 1
5 3 1682 1000 u3.base u3.test 0.851869 1.08236 0.9982 2.285 1
5 3 1682 1000 u3.base u3.test 0.851869 1.08236 0.9982 2.285 1
5 3 1682 1000 u3.base u3.test 0.851869 1.08236 0.9982 2.290 1
10 3 1682 1000 u3.base u3.test 0.821323 1.04228 0.9982 2.284 1
10 3 1682 1000 u3.base u3.test 0.821323 1.04228 0.9982 2.293 1
