k method num_movies num_users base test MAE RMSE Recall time matched_only
5 0 3952 6040 u1.base u1.test 0.837249 1.06039 0.999815 194.763 1
5 0 3952 6040 u1.base u1.test 0.837249 1.06039 0.999815 195.409 1
5 0 3952 6040 u1.base u1.test 0.837249 1.06039 0.999815 195.476 1
10 0 3952 6040 u1.base u1.test 0.801541 1.01343 0.999815 198.135 1
10 0 3952 6040 u1.base u1.test 0.801541 1.01343 0.999815 198.562 1
10 0 3952 6040 u1.base u1.test 0.801541 1.01343 0.999815 198.685 1
20 0 3952 6040 u1.base u1.test 0.781741 0.989383 0.999815 196.511 1
20 0 3952 6040 u1.base u1.test 0.781741 0.989383 0.999815 197.576 1
20 0 3952 6040 u1.base u1.test 0.781741 0.989383 0.999815 198.688 1
5 1 3952 6040 u1.base u1.test 0.840947 1.06428 0.999815 197.606 1
5 1 3952 6040 u1.base u1.test 0.840947 1.06428 0.999815 197.735 1
5 1 3952 6040 u1.base u1.test 0.840947 1.06428 0.999815 197.908 1
10 1 3952 6040 u1.base u1.test 0.806804 1.01759 0.999815 193.492 1
10 1 3952 6040 u1.base u1.test 0.806804 1.01759 0.999815 193.551 1
10 1 3952 6040 u1.base u1.test 0.806804 1.01759 0.999815 193.576 1
20 1 3952 6040 u1.base u1.test 0.787204 0.992841 0.999815 197.759 1
20 1 3952 6040 u1.base u1.test 0.787204 0.992841 0.999815 197.805 1
20 1 3952 6040 u1.base u1.test 0.787204 0.992841 0.999815 198.681 1
5 2 3952 6040 u1.base u1.test 0.834454 1.0562 0.999815 195.279 1
5 2 3952 6040 u1.base u1.test 0.834454 1.0562 0.999815 195.966 1
5 2 3952 6040 u1.base u1.test 0.834454 1.0562 0.999815 197.482 1
10 2 3952 6040 u1.base u1.test 0.798917 1.00825 0.999815 196.516 1
10 2 3952 6040 u1.base u1.test 0.798917 1.00825 0.999815 196.873 1
10 2 3952 6040 u1.base u1.test 0.798917 1.00825 0.999815 197.784 1
20 2 3952 6040 u1.base u1.test 0.77979 0.983811 0.999815 194.483 1
20 2 3952 6040 u1.base u1.test 0.77979 0.983811 0.999815 194.896 1
20 2 3952 6040 u1.base u1.test 0.77979 0.983811 0.999815 194.969 1
5 3 3952 6040 u1.base u1.test 0.839137 1.06223 0.999815 201.017 1
5 3 3952 6040 u1.base u1.test 0.839137 1.06223 0.999815 202.252 1
5 3 3952 6040 u1.base u1.test 0.839137 1.06223 0.999815 202.744 1
10 3 3952 6040 u1.base u1.test 0.802601 1.01443 0.999815 193.963 1
10 3 3952 6040 u1.base u1.test 0.802601 1.01443 0.999815 194.796 1
